connaissance	-0.994238890152	32	20	26	14	7.19826962714	6.81772163762	0.0542725479151
bahriyye	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
forum	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
naturel	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
partenaires	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
adolescente	0.714756885942	16	16	4	4	9.00562454919	9.51816135576	0.05
centrales	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
parlant	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
permis	0.150004770765	15	11	15	11	7.54619293056	7.61127076015	0.213359258059
intellectuelles	0.799258942701	5	5	5	5	8.68369645431	9.19623326087	0.05
marquée	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
soucieuse	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
populaire	-0.266355105981	17	11	17	11	7.54619293056	7.43069851451	0.113332618122
thématique	-1.31939260532	9	3	9	3	9.42066204847	8.34823635431	0.131704165946
écarts	-1.33914605519	5	1	5	1	11.0056245492	9.19623326087	0.328071905113
dernières	0.0241690761842	18	13	17	12	7.42066204847	7.43069851451	0.176018951873
postulat	-1.71813330716	9	2	9	2	10.0056245492	8.34823635431	0.285795493491
adolescents	0.875693855065	14	14	6	6	8.42066204847	8.93319885504	0.05
intrigue	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
reste	-0.225689441865	30	20	30	20	6.68369645431	6.61127076015	0.131704165946
écologiques	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
appeler	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
sénèque	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
projection	-1.0780440945	4	1	4	1	11.0056245492	9.51816135576	0.238721875541
classification	0.799258942701	6	6	5	5	8.68369645431	9.19623326087	0.05
marianne	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
admis	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
prévisible	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
-ce	-0.468356427625	15	9	15	9	7.83569954775	7.61127076015	0.0790494055453
làng	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
visible	0.275570202059	9	7	9	7	8.19826962714	8.34823635431	0.285795493491
énergie	0.203198801808	12	9	12	9	7.83569954775	7.93319885504	0.238721875541
fournies	-0.480443767689	6	3	4	2	10.0056245492	9.51816135576	0.05
moral	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
dégager	-0.10051674049	6	4	6	4	9.00562454919	8.93319885504	0.131704165946
élèves	1.01150980398	9	9	8	8	8.00562454919	8.51816135576	0.05
composé	-0.588622038268	6	3	6	3	9.42066204847	8.93319885504	0.05
noyau	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
désirs	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
total	-0.52191120163	9	5	9	5	8.68369645431	8.34823635431	0.0589239401618
indices	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
connaissances	-1.31939260532	11	5	9	3	9.42066204847	8.34823635431	0.131704165946
lawrencien	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
tels	0.672703451549	18	15	18	15	7.09873395359	7.34823635431	0.399977578352
présence	0.0241690761842	18	13	17	12	7.42066204847	7.43069851451	0.176018951873
originale	-1.31385546619	7	2	7	2	10.0056245492	8.7108064337	0.186879431433
leurs	0.335244026478	117	85	103	75	4.7768058587	4.83166082857	0.205900828203
marine	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
